band,importance
August_B08,0.21813703361964873
November_B08,0.1552947976480812
April_B08,0.11929903434296234
August_B02,0.08724988877417443
April_B04,0.08087891269475474
August_B04,0.07614967576839747
November_B02,0.06163896537226581
April_B03,0.051425594216638934
April_B02,0.04484353063930329
November_B03,0.038218124927386514
August_B03,0.035851544374369146
November_B04,0.031012897622017508
