,precision,recall,f1-score,support
Non-green,0.9473684210526315,0.9139072847682119,0.9303370786516854,453.0
Green,0.5568181818181818,0.6805555555555556,0.6125,72.0
accuracy,0.8819047619047619,0.8819047619047619,0.8819047619047619,0.8819047619047619
macro avg,0.7520933014354066,0.7972314201618838,0.7714185393258427,525.0
weighted avg,0.8938072453861926,0.8819047619047619,0.8867479935794542,525.0
