,precision,recall,f1-score,support
Non-green,0.999648204376505,0.990398539449389,0.9950018758597691,241005.0
Green,0.013640238704177323,0.27586206896551724,0.025995125913891144,116.0
accuracy,0.9900547857714591,0.9900547857714591,0.9900547857714591,0.9900547857714591
macro avg,0.5066442215403412,0.6331303042074532,0.5104985008868301,241121.0
weighted avg,0.9991738494923681,0.9900547857714591,0.9945357000269145,241121.0
